screen_name,created_at,text,retweet_count,favorite_count,in_reply_to_screen_name,retweeted_status_screen_name,user_description,source,lang,id
elonmusk,2020-09-20T23:46:28Z,@Zog_Fot_Pik @samiralyateem @ID_AA_Carmack Sure,31,873,Zog_Fot_Pik,,,Twitter for iPhone,en,1307828504537567234
elonmusk,2020-09-20T23:45:31Z,"@soumiksf @ID_AA_Carmack Yeah, we will open Dojo for training as a web service once we work out the bugs",110,1561,soumiksf,,,Twitter for iPhone,en,1307828265445400579
elonmusk,2020-09-20T23:34:07Z,"@samiralyateem @ID_AA_Carmack There are a lot of pointless zeroes in FP32 neural nets. You can chop off 16 of the 32 bits without losing meaningful precision. This works well with neural nets, but not with regular computing, which expects extreme precision.",31,571,samiralyateem,,,Twitter for iPhone,en,1307825396784693248
elonmusk,2020-09-20T23:28:14Z,"@soumiksf @ID_AA_Carmack Dojo uses our own chips &amp; a computer architecture optimized for neural net training, not a GPU cluster. Could be wrong, but I think it will be best in world.",104,1266,soumiksf,,,Twitter for iPhone,en,1307823914651979776
elonmusk,2020-09-20T23:22:50Z,@llamaa35079089 @ID_AA_Carmack @Tesla You really want waypoints this much?,142,3357,spherereos,,,Twitter for iPhone,en,1307822558084034560
elonmusk,2020-09-20T23:21:18Z,"@ID_AA_Carmack For Dojo, we’re betting on FP16 with floating floating point (essentially, truncating mostly zeroes), so it feels like FP32 &amp; existing software just works. We considered FP8 for a while, but everyone hated it. I even asked Twitter! For inference, int8 works great.",132,2768,ID_AA_Carmack,,,Twitter for iPhone,en,1307822172556193793
elonmusk,2020-09-20T21:20:00Z,@WholeMarsBlog Yes,65,1824,WholeMarsBlog,,,Twitter for iPhone,,1307791646348771334
elonmusk,2020-09-20T20:37:27Z,@BabyTesla3 @WholeMarsBlog Yes,122,2173,BabyTesla3,,,Twitter for iPhone,,1307780937007149057
elonmusk,2020-09-20T20:35:29Z,"@WholeMarsBlog There’ll be lots of green space around factory, but building itself is continuous. The “open” areas inside are covered. They’re internal semi truck roads inside a giant monolithic building.",345,7150,WholeMarsBlog,,,Twitter for iPhone,en,1307780443157258240
elonmusk,2020-09-20T03:33:30Z,@SavedTesla @peterdog15 Shaped like a diamond &amp; aligned on true north,236,6624,SavedTesla,,,Twitter for iPhone,en,1307523249841082368
elonmusk,2020-09-19T17:19:33Z,"A prior track record of exceptional achievement in engineering *is* required, but *no* prior experience working on the brain or human physiology is required. We will teach you what’s known about the brain, which is not much tbh.",1128,23328,elonmusk,,,Twitter for iPhone,en,1307368746655285248
elonmusk,2020-09-19T17:08:00Z,"If you feel Neuralink might have incorrectly overlooked your resume or declined to  make an offer, please lmk in comment below https://t.co/G81RblBZ0Z",1930,28593,,,,Twitter for iPhone,en,1307365838723350536
elonmusk,2020-09-19T17:02:50Z,@teslaownersSV @Model3Owners @TrungTPhan Felt I had done enough on the Internet (Zip2 &amp; PayPal) that my work would be useful to others. Needed to get going on accelerating sustainable energy &amp; making life multiplanetary.,338,3878,teslaownersSV,,,Twitter for iPhone,en,1307364538631811073
elonmusk,2020-09-19T16:47:57Z,@Model3Owners @TrungTPhan It took an utterly insane amount of work to move the SpaceX &amp; Tesla success probabilities above ~zero,411,4368,Model3Owners,,,Twitter for iPhone,en,1307360795064442881
elonmusk,2020-09-19T16:30:56Z,"@TrungTPhan To be frank, in the early days, I thought there was &gt;90% chance that both SpaceX &amp; Tesla would be worth $0. The press &amp; aerospace / automotive industry at the time (correctly) agreed with me.",1362,30457,TrungTPhan,,,Twitter for iPhone,en,1307356512411672578
elonmusk,2020-09-19T15:59:23Z,@fermatslibrary Irrational is such a funny word to describe numbers,459,9689,fermatslibrary,,,Twitter for iPhone,en,1307348573290401795
elonmusk,2020-09-18T16:22:25Z,of course I still love you,48133,374024,,,,Twitter for iPhone,en,1306991980354834433
elonmusk,2020-09-18T16:04:43Z,"@DeborahPatteri @TENETFilm Sure, but which planet?",131,2806,DeborahPatteri,,,Twitter for iPhone,en,1306987524615675904
